Date,Open,High,Low,Close,Volume,Adj Close
2014-01-30,3703.70,3716.70,3660.00,3704.24,1795900,1722.658
2014-01-29,3666.00,3743.70,3653.64,3717.80,2025500,1728.964
2014-01-28,3707.00,3708.70,3666.86,3675.10,3527100,1709.107
2014-01-27,3720.00,3763.90,3711.20,3732.20,2024700,1735.661
2014-01-24,3765.00,3796.94,3754.70,3758.14,1719100,1747.724
2014-01-23,3784.10,3799.00,3760.86,3792.50,1976800,1763.704
2014-01-22,3741.20,3778.00,3740.06,3765.90,1692400,1751.333
2014-01-21,3750.00,3770.00,3718.36,3758.36,3025600,1747.827
2014-01-20,3712.00,3759.94,3704.44,3749.30,2440400,1743.613
2014-01-17,3729.00,3764.64,3720.00,3729.76,6416900,1734.526
2014-01-16,3699.00,3737.44,3693.64,3725.06,4402000,1732.341
2014-01-15,3695.30,3724.36,3681.00,3712.06,4282500,1726.295
2014-01-14,3645.00,3695.00,3640.44,3686.76,1856400,1714.529
2014-01-13,3582.00,3675.00,3582.00,3665.00,4279900,1704.41
2014-01-10,3490.00,3575.00,3448.00,3551.24,7564500,1651.506
2014-01-09,3440.00,3482.00,3417.86,3450.80,3147700,1604.796
2014-01-08,3461.00,3475.00,3421.00,3428.10,2247500,1594.239
2014-01-07,3519.06,3525.90,3446.70,3457.14,1928400,1607.744
2014-01-06,3575.10,3580.50,3468.60,3517.90,2774500,1636.001
2014-01-03,3475.00,3575.00,3454.24,3565.14,2511500,1657.97
2014-01-02,3463.24,3508.00,3463.24,3480.56,1101100,1618.636
2014-01-01,3492.00,3499.00,3462.06,3468.00,369600,1612.795
2013-12-31,3500.00,3521.70,3480.24,3485.64,897700,1620.998
2013-12-30,3567.70,3575.00,3475.00,3502.36,2965800,1628.774
2013-12-27,3530.00,3572.00,3529.94,3561.30,1845500,1656.184
2013-12-26,3487.00,3534.40,3483.76,3520.64,1717400,1637.275
2013-12-25,3486.40,3486.40,3486.40,3486.40,000,1621.352
2013-12-24,3486.00,3502.90,3466.10,3486.40,1777400,1621.352
2013-12-23,3500.00,3539.90,3460.56,3468.44,2211400,1612.999
2013-12-20,3525.00,3573.00,3508.40,3551.36,2171300,1651.561
2013-12-19,3462.50,3544.94,3455.00,3512.24,1832800,1633.369
2013-12-18,3450.00,3473.76,3447.50,3457.44,2295800,1607.884
2013-12-17,3445.10,3484.90,3445.10,3456.36,2678400,1607.382
2013-12-16,3380.00,3464.00,3353.80,3452.24,2529400,1605.466
